ID,Speed,Stamina,Field of View,Range,MilliSeconds Alive,Seconds Alive,Minutes Alive
96,0.98,0.95,0.98,0.9,114152,
199,1.1,1.05,1.05,0.97,117194,
10,1.08,0.94,0.93,1.07,117896,
65,1.06,0.91,0.97,0.98,119273,
42,1.01,1.1,0.98,1.06,119958,
149,1.09,0.95,1.08,1,123835,
47,0.95,1.01,1.03,1.04,126486,
54,0.96,1.1,1.01,0.91,127419,
87,1.09,0.99,0.93,1,127953,
193,0.93,0.94,0.96,0.9,130274,
52,1.1,0.96,0.97,0.96,132265,
33,1.01,0.93,0.94,0.98,132509,
46,0.99,0.95,1.1,0.96,132784,
119,1.09,1.05,0.91,1.06,133878,
83,1.05,0.92,1.1,0.92,135142,
192,0.9,1.1,1.05,1.03,137774,
50,1.1,0.91,1.04,1.1,141750,
169,1.01,1.1,0.92,1.01,143328,
55,1.07,0.95,1.09,1.03,147528,
66,1.04,1.03,1.06,1.04,151835,
188,0.96,0.91,0.94,1.04,153151,
92,1,1.04,0.92,0.98,153951,
153,0.98,1.02,0.9,0.94,154348,
69,1.08,1.01,0.99,1.02,158177,
80,0.92,1,1.04,1.07,160720,
61,1.03,0.92,1.04,1,161430,
84,0.96,0.97,0.93,0.97,162954,
67,1.09,0.92,1.02,0.9,165162,
196,1.03,0.91,1.09,1.02,166179,
175,1.04,1,1.1,1.1,168779,
177,1.07,1.03,0.97,0.93,169138,
21,0.91,0.98,0.98,1.06,171140,
8,1,1.07,0.97,1,173772,
129,0.98,1,0.93,0.94,174857,
13,1.02,1.07,0.95,0.9,178707,
195,0.92,0.93,1.04,1.05,179476,
113,0.95,1.04,0.99,0.97,181833,
118,1.08,1.05,1.04,1.04,182643,
78,0.95,0.96,0.97,0.99,184268,
32,1.07,1.1,0.97,0.93,185431,
98,1.1,1.04,1.01,1.05,187463,
109,1.05,1.05,0.97,0.92,188053,
146,0.93,0.98,1.07,1.09,189101,
76,0.91,1,1.05,1,191362,
90,1.07,1.08,1,0.95,191857,
27,0.96,0.9,1,1.02,192293,
97,0.93,1.06,0.92,0.93,194292,
139,0.94,1.07,1.01,1.05,195307,
106,0.93,1.06,1.07,1,196820,
145,0.92,0.98,1.1,1.09,199132,
170,1.02,0.9,1.1,0.99,200468,
86,0.9,0.98,1.03,1,201062,
70,1.03,0.93,0.92,0.92,202692,
45,0.91,0.98,1.01,0.98,204768,
101,1.05,1.1,0.91,0.97,207649,
0,1.03,1.09,1.07,1.06,212168,
28,1.08,0.93,0.9,1.04,212370,
103,0.99,1.01,1.01,0.9,213571,
194,0.94,1.05,1.09,0.99,216616,
35,0.93,0.93,0.99,0.91,217601,
34,1.04,0.92,1.07,1.01,217867,
143,0.9,1.01,1.04,1.01,218242,
163,0.95,0.91,1.06,0.93,220407,
25,1.04,0.9,1.1,1.1,225279,
167,0.9,1.06,0.9,0.93,226813,
136,1.09,1.05,0.91,1.05,231526,
117,1.06,0.9,0.96,1.04,234706,
94,1.09,1.04,1,0.93,239715,
89,1.05,1.01,0.91,1.06,245513,
184,1.02,0.98,0.96,0.98,247714,
2,1.08,1.08,0.99,0.99,248587,
31,1.01,0.99,1.07,0.9,249321,
186,0.9,1.1,0.99,1.01,251229,
88,0.9,0.91,0.98,1.02,254389,
79,1.07,0.97,1.02,0.92,267237,
1,1.04,0.95,1.03,0.96,270557,
68,1,1.08,0.94,1.06,276443,
138,1.08,1.1,0.97,1.09,284995,
156,1.08,0.93,1.1,1.06,317066,
108,1.03,0.94,1.05,0.9,323725,
7,1.09,0.91,1,1.01,341413,
64,1.01,0.97,0.95,1.09,342710,
